"region";"husholdningstype";"tid";"statistikkvariabel";"verdi"
"0101 Halden";"0000 Alle husholdninger";"2005";"Husholdninger";12999
"0101 Halden";"0000 Alle husholdninger";"2005";"Inntekt etter skatt, median (kr)";296000
"0101 Halden";"0000 Alle husholdninger";"2006";"Husholdninger";12575
"0101 Halden";"0000 Alle husholdninger";"2006";"Inntekt etter skatt, median (kr)";310000
"0101 Halden";"0000 Alle husholdninger";"2007";"Husholdninger";12793
"0101 Halden";"0000 Alle husholdninger";"2007";"Inntekt etter skatt, median (kr)";332000
"0101 Halden";"0000 Alle husholdninger";"2008";"Husholdninger";12877
"0101 Halden";"0000 Alle husholdninger";"2008";"Inntekt etter skatt, median (kr)";356000
"0101 Halden";"0000 Alle husholdninger";"2009";"Husholdninger";13000
"0101 Halden";"0000 Alle husholdninger";"2009";"Inntekt etter skatt, median (kr)";364000
"0101 Halden";"0000 Alle husholdninger";"2010";"Husholdninger";13158
"0101 Halden";"0000 Alle husholdninger";"2010";"Inntekt etter skatt, median (kr)";378000
"0101 Halden";"0000 Alle husholdninger";"2011";"Husholdninger";13347
"0101 Halden";"0000 Alle husholdninger";"2011";"Inntekt etter skatt, median (kr)";400000
"0101 Halden";"0000 Alle husholdninger";"2012";"Husholdninger";13528
"0101 Halden";"0000 Alle husholdninger";"2012";"Inntekt etter skatt, median (kr)";414000
"0101 Halden";"0001 Aleneboende";"2005";"Husholdninger";4972
"0101 Halden";"0001 Aleneboende";"2005";"Inntekt etter skatt, median (kr)";161000
"0101 Halden";"0001 Aleneboende";"2006";"Husholdninger";4862
"0101 Halden";"0001 Aleneboende";"2006";"Inntekt etter skatt, median (kr)";169000
"0101 Halden";"0001 Aleneboende";"2007";"Husholdninger";5015
"0101 Halden";"0001 Aleneboende";"2007";"Inntekt etter skatt, median (kr)";184000
"0101 Halden";"0001 Aleneboende";"2008";"Husholdninger";5060
"0101 Halden";"0001 Aleneboende";"2008";"Inntekt etter skatt, median (kr)";200000
"0101 Halden";"0001 Aleneboende";"2009";"Husholdninger";5085
"0101 Halden";"0001 Aleneboende";"2009";"Inntekt etter skatt, median (kr)";206000
"0101 Halden";"0001 Aleneboende";"2010";"Husholdninger";5113
"0101 Halden";"0001 Aleneboende";"2010";"Inntekt etter skatt, median (kr)";212000
